date,original,sa,trend
1975-01-01,31.1684,32.0971,32.2193
1975-02-01,37.0888,31.9279,33.0795
1975-03-01,36.5423,34.0078,33.7830
1975-04-01,32.0565,34.3196,34.3321
1975-05-01,38.2339,34.8284,34.5731
1975-06-01,34.1709,33.4566,34.5728
1975-07-01,38.0566,34.9084,34.5886
1975-08-01,36.0609,32.6167,34.7535
1975-09-01,39.1626,35.1411,34.9557
1975-10-01,37.6288,34.7939,35.1229
1975-11-01,34.7093,35.0366,35.3734
1975-12-01,22.1007,35.3946,35.7820
1976-01-01,34.7483,35.8940,36.1054
1976-02-01,42.2546,36.6750,36.1794
1976-03-01,39.9010,35.3760,35.9817
1976-04-01,32.9397,35.2398,35.5976
1976-05-01,38.2258,34.9481,35.2354
1976-06-01,36.1308,35.2642,35.0249
1976-07-01,36.8172,33.9460,34.9093
1976-08-01,38.5559,34.8350,34.6179
1976-09-01,37.9818,33.9631,34.0093
1976-10-01,35.5925,33.0711,33.0049
1976-11-01,31.1294,31.2244,31.7436
1976-12-01,22.7123,36.2056,36.4634
1977-01-01,31.6645,32.7352,35.2310
1977-02-01,39.5936,34.2335,34.3821
1977-03-01,37.4873,33.1757,33.8114
1977-04-01,31.1814,33.6138,33.3430
1977-05-01,35.6201,32.6204,32.8628
1977-06-01,32.6762,31.8670,32.1795
1977-07-01,33.6244,31.3058,31.1947
1977-08-01,33.2633,30.0691,30.0663
1977-09-01,32.0874,28.6254,29.1434
1977-10-01,30.3942,28.0332,28.6248
1977-11-01,28.6555,28.5112,28.5228
1977-12-01,17.9581,28.7419,28.6477
1978-01-01,28.9515,29.8592,28.6817
1978-02-01,32.6615,28.1237,28.4329
1978-03-01,31.9622,29.4737,28.0745
1978-04-01,25.0496,27.1642,27.8596
1978-05-01,29.7208,27.2482,27.8565
1978-06-01,28.9060,28.2570,27.9738
1978-07-01,30.0071,28.0639,28.0858
1978-08-01,30.7032,27.8194,28.1022
1978-09-01,29.2427,26.1508,28.0442
1978-10-01,30.5390,27.9372,28.0922
1978-11-01,28.4034,28.0113,28.2116
1978-12-01,17.6377,28.3255,28.3480
1979-01-01,28.7075,29.5969,28.4330
1979-02-01,32.6062,27.9274,28.5197
1979-03-01,32.6746,29.0132,28.6635
1979-04-01,25.9783,28.0971,28.7977
1979-05-01,31.6694,29.0992,28.8194
1979-06-01,29.0654,28.6526,28.7062
1979-07-01,30.0689,28.1927,28.6427
1979-08-01,31.3018,28.4296,28.8101
1979-09-01,32.3249,28.9781,29.1583
1979-10-01,32.7201,29.6978,29.5895
1979-11-01,30.2495,29.6080,29.8239
1979-12-01,18.3745,29.5187,29.6846
1980-01-01,25.0967,25.9360,29.2377
1980-02-01,33.6130,28.6440,28.7343
1980-03-01,31.1570,27.7416,28.3988
1980-04-01,26.4044,28.3180,28.3793
1980-05-01,31.2075,28.7706,28.7680
1980-06-01,29.2492,29.0464,29.5214
1980-07-01,32.3005,30.2163,30.4173
1980-08-01,34.0554,31.2857,31.3112
1980-09-01,35.8267,31.9757,31.9571
1980-10-01,35.3908,31.9114,32.1789
1980-11-01,33.0194,32.4621,32.1886
1980-12-01,19.5163,31.3051,32.3404
1981-01-01,31.1814,32.4959,32.7638
1981-02-01,39.2098,33.5748,33.3233
1981-03-01,37.7281,33.6037,33.7507
1981-04-01,31.6060,33.5980,33.8284
1981-05-01,36.1146,33.4475,33.5486
1981-06-01,32.3216,32.0619,33.3110
1981-07-01,34.7711,32.3984,33.3721
1981-08-01,36.2528,33.2144,33.6379
1981-09-01,38.4031,34.2348,33.9766
1981-10-01,37.7216,34.1209,34.1000
1981-11-01,33.7920,33.0938,33.8503
1981-12-01,20.8565,33.5511,33.2084
1982-01-01,30.1063,31.7612,32.2952
1982-02-01,36.1146,31.1843,31.1347
1982-03-01,32.9006,29.3151,29.6567
1982-04-01,26.6175,28.0350,27.9747
1982-05-01,26.6533,24.6427,26.2106
1982-06-01,24.3616,24.0604,24.3270
1982-07-01,24.3388,22.6687,22.4232
1982-08-01,22.2943,20.3214,20.5581
1982-09-01,20.8793,18.5867,18.8778
1982-10-01,19.2219,17.4544,17.5053
1982-11-01,16.8797,16.4738,16.5896
1982-12-01,11.0211,17.7475,16.1085
1983-01-01,14.9296,15.8716,15.9506
1983-02-01,18.4932,16.0757,16.0414
1983-03-01,18.0427,16.0839,16.2778
1983-04-01,15.7981,16.6302,16.5921
1983-05-01,18.2606,16.8766,17.0244
1983-06-01,17.7727,17.4031,17.6099
1983-07-01,19.5683,18.2232,18.2958
1983-08-01,21.1395,19.1635,19.0769
1983-09-01,22.3187,19.8016,20.0270
1983-10-01,22.8994,20.7349,21.1999
1983-11-01,23.1482,22.4661,22.4573
1983-12-01,14.6514,23.8107,23.6733
1984-01-01,25.3456,27.1264,24.7426
1984-02-01,28.5709,24.9427,25.6963
1984-03-01,29.9974,26.8614,26.6960
1984-04-01,23.6898,25.0388,27.7950
1984-05-01,31.1473,28.7325,28.8574
1984-06-01,30.3731,29.6479,29.6421
1984-07-01,33.2731,30.8989,30.1169
1984-08-01,33.7513,30.3811,30.4660
1984-09-01,33.5903,29.8628,30.9125
1984-10-01,35.1371,31.5541,31.6620
1984-11-01,33.6407,32.3838,32.6480
1984-12-01,20.6483,33.8182,33.6831
1985-01-01,32.1427,34.4326,34.6995
1985-02-01,38.6177,33.8690,35.7200
1985-03-01,40.4752,36.5468,36.7953
1985-04-01,35.8560,38.0628,38.0053
1985-05-01,42.1098,38.8582,39.3600
1985-06-01,41.0965,40.1297,40.7052
1985-07-01,45.3807,42.2003,41.8946
1985-08-01,47.0674,42.4173,42.7266
1985-09-01,48.5036,42.7695,43.0578
1985-10-01,48.0498,42.7991,42.8227
1985-11-01,43.8209,42.0836,42.2675
1985-12-01,23.5727,38.8904,41.7917
1986-01-01,38.3721,40.9830,41.8734
1986-02-01,48.1978,42.3302,42.7711
1986-03-01,46.6786,44.0404,44.4007
1986-04-01,43.4078,46.3607,46.0906
1986-05-01,42.4254,39.3881,39.6055
1986-06-01,41.5487,40.5527,40.0080
1986-07-01,41.9244,39.0905,40.2754
1986-08-01,42.3327,38.2594,40.8451
1986-09-01,48.3555,42.2922,41.8608
1986-10-01,47.7912,42.2205,42.9416
1986-11-01,45.9890,44.1799,43.8396
1986-12-01,26.5606,44.0521,44.4482
1987-01-01,41.1351,43.8167,44.7924
1987-02-01,51.7630,45.7686,44.8137
1987-03-01,49.1135,44.4097,44.5013
1987-04-01,40.2052,43.1254,44.0492
1987-05-01,46.8673,43.7346,43.7073
1987-06-01,44.6537,43.5592,43.9326
1987-07-01,47.2723,44.1394,44.9521
1987-08-01,50.9742,46.0290,46.2794
1987-09-01,54.6826,47.6721,47.4053
1987-10-01,55.1754,48.8331,48.0455
1987-11-01,49.4274,47.2842,48.3658
1987-12-01,28.8674,48.0569,48.6864
1988-01-01,40.6211,42.9236,49.1829
1988-02-01,56.7937,50.4410,49.8037
1988-03-01,54.9136,49.4966,50.5010
1988-04-01,47.2212,50.9216,51.4756
1988-05-01,56.4725,52.6154,53.0287
1988-06-01,55.9996,54.5824,54.8598
1988-07-01,60.1993,56.7122,56.5033
1988-08-01,64.1225,57.6981,57.8555
1988-09-01,66.2563,57.6505,58.9244
1988-10-01,67.3446,59.8227,59.8441
1988-11-01,64.1417,61.2101,60.5831
1988-12-01,35.7768,59.7169,61.3310
1989-01-01,60.0017,62.3312,62.1767
1989-02-01,69.3493,61.7201,63.1660
1989-03-01,68.7569,64.6531,63.8760
1989-04-01,61.6456,66.7292,63.6647
1989-05-01,67.1850,62.5599,62.3403
1989-06-01,60.8222,59.1504,60.4141
1989-07-01,61.8261,58.0735,58.3176
1989-08-01,62.3722,56.0120,56.4115
1989-09-01,62.1573,54.5784,54.5898
1989-10-01,58.7349,52.2860,52.8769
1989-11-01,52.9780,50.5145,51.1010
1989-12-01,29.4463,49.2230,49.2089
1990-01-01,45.9716,47.1310,46.9434
1990-02-01,49.0829,43.7488,44.3007
1990-03-01,45.6673,41.3769,41.5097
1990-04-01,35.5016,38.2510,38.9463
1990-05-01,40.7515,37.9922,36.7575
1990-06-01,35.5365,34.6967,34.7755
